Valve0_duration,Valve1_duration,Valve2_duration,X,Y,Z
2000,2000,2000,1.13,-0.38,0.9399999999999977
768,1492,1083,5.6899999999999995,0.19,1.0600000000000023
762,1780,1457,6.130000000000001,1.44,1.1200000000000045
1491,1624,804,1.8099999999999996,-4.75,1.3700000000000045
959,1135,1706,2.13,2.63,1.6899999999999977
36,1028,978,8.5,4.3100000000000005,1.4399999999999977
384,1942,1782,10.25,4.56,1.4399999999999977
1504,345,1097,-5.9399999999999995,2.38,1.0600000000000023
1135,1417,1714,0.75,1.94,1.4399999999999977
3,814,1230,6.5600000000000005,6.31,1.1899999999999977
684,329,1084,-1.56,4.88,2.0
268,798,222,3.63,-2.63,2.0
319,1715,1064,9.69,1.5,2.0600000000000023
754,338,1158,-2.19,5.06,1.8700000000000045
1013,1482,236,1.6900000000000004,-7.880000000000001,2.25
1135,832,289,-1.5,-7.0,2.75
1597,922,1480,-3.37,0.75,3.0600000000000023
1263,805,1772,-2.75,3.38,3.3100000000000023
1733,1256,1101,-2.5,-1.44,3.75
130,1010,1821,6.380000000000001,7.25,4.060000000000002
1432,548,631,-5.0,-2.13,4.060000000000002
895,369,1473,-4.44,5.06,4.0
566,326,50,-2.44,-3.75,3.8700000000000045
1260,1373,1790,-0.94,1.31,4.310000000000002
1580,366,804,-7.0600000000000005,-0.31000000000000005,4.189999999999998
1765,1876,1870,0.05999999999999961,-0.56,4.939999999999998
1749,1527,844,-1.37,-4.0,5.5
1132,1154,648,-0.56,-4.75,5.939999999999998
1631,1504,592,-1.44,-6.63,7.0
1017,1503,1170,1.1900000000000004,-0.75,7.3700000000000045
18,1720,588,9.44,-1.81,7.310000000000002
1908,1914,1258,0.1900000000000004,-3.25,7.6200000000000045
955,1692,90,3.1900000000000004,-10.94,7.939999999999998
352,1286,1128,6.4399999999999995,2.56,8.25
805,1282,1233,2.75,1.5,8.25
1719,1909,1796,0.6900000000000004,-0.43999999999999995,8.810000000000002
70,1530,1461,9.69,4.88,8.689999999999998
785,947,959,1.25,0.75,9.25
1393,108,1785,-7.4399999999999995,5.75,8.870000000000005
1128,120,1441,-7.0600000000000005,5.5,8.25
1451,1275,871,-1.69,-2.81,8.5
1988,1245,1237,-3.25,-1.81,9.060000000000002
891,151,1375,-5.8100000000000005,5.63,8.75
911,1084,1409,0.1900000000000004,2.25,8.870000000000005
1944,1927,458,-0.31000000000000005,-9.13,9.560000000000002
691,1370,882,3.1900000000000004,-1.06,10.060000000000002
329,12,150,-1.69,-1.13,10.75
241,595,437,2.4400000000000004,-0.43999999999999995,10.75
1458,1280,330,-1.19,-8.56,11.120000000000005
776,1700,1718,4.130000000000001,1.19,11.689999999999998
511,757,1196,2.25,3.56,11.620000000000005
1102,89,1392,-6.6899999999999995,5.63,11.939999999999998
1735,1513,459,-1.44,-7.9399999999999995,12.370000000000005
627,1489,1056,4.5600000000000005,0.0,12.689999999999998
1975,473,1461,-6.13,1.69,12.5
128,317,1906,2.13,9.94,13.370000000000005
770,1072,1526,2.13,3.25,13.060000000000002
533,217,1705,-1.94,8.69,13.189999999999998
1538,1519,57,-0.5,-11.0,13.560000000000002
728,1331,1679,3.25,2.69,14.060000000000002
358,926,1469,4.8100000000000005,5.5,14.0
1360,476,534,-5.13,-3.06,14.0
1398,1774,502,0.9400000000000004,-8.75,14.75
201,1825,402,9.5,-5.19,14.870000000000005
501,1041,509,4.0,-3.06,15.439999999999998
1426,1576,554,0.25,-7.5,16.0
323,494,1089,1.88,4.5,16.189999999999998
863,297,1354,-3.94,5.31,16.0
349,1674,1814,8.25,4.38,16.060000000000002
524,467,231,0.5,-3.19,16.060000000000002
10,270,1504,2.3099999999999996,8.94,16.25
