Total recording time: 3521 ms
time, x, y, z, h
1750071922.2694585, 0.0, -0.06, 0.5, 51.0
1750071922.3181183, 0.0, -0.06, 0.5, 51.0
1750071922.367758, 0.0, -0.06, 0.5, 52.0
1750071922.4124496, 0.0, -0.06, 0.5, 50.0
1750071922.4575312, 0.0, -0.06, 0.5, 51.0
1750071922.5064461, 0.0, -0.06, 0.5, 52.0
1750071922.555332, 0.0, -0.06, 0.5, 50.0
1750071922.6050162, 0.0, -0.06, 0.5, 49.0
1750071922.6496282, 0.0, -0.06, 0.5, 50.0
1750071922.6988595, 0.0, -0.06, 0.5, 52.0
1750071922.7485642, 0.0, -0.06, 0.5, 51.0
1750071922.7485642, -1, -1, -1, -1
1750071922.8259103, 0.0, -0.06, 0.5, 53.0
1750071922.8711214, 0.0, -0.12, 0.44, 53.0
1750071922.9159582, 0.0, -0.12, 0.56, 52.0
1750071922.9613307, 0.0, -0.12, 0.56, 52.0
1750071923.0101347, 0.0, -0.12, 0.63, 56.0
1750071923.0595257, 0.0, -0.12, 0.69, 54.0
1750071923.1085773, 359.94, -0.12, 0.75, 58.0
1750071923.1577895, 359.94, -0.12, 0.81, 56.0
1750071923.207351, 359.94, -0.06, 0.88, 58.0
1750071923.2519689, 359.94, -0.06, 1.0, 59.0
1750071923.3006818, 359.94, -0.06, 1.06, 63.0
1750071923.3502073, 359.94, -0.06, 1.12, 65.0
1750071923.3994653, 359.94, -0.06, 1.19, 62.0
1750071923.4490132, 359.94, -0.06, 1.25, 64.0
1750071923.4980564, 359.94, -0.06, 1.31, 66.0
1750071923.5466838, 359.94, -0.06, 1.37, 65.0
1750071923.592088, 359.94, -0.06, 1.44, 68.0
1750071923.636699, 359.94, 0.0, 1.5, 66.0
1750071923.6861145, 359.94, 0.0, 1.56, 67.0
1750071923.7346547, 359.94, 0.0, 1.56, 70.0
1750071923.7802372, 359.94, 0.0, 1.63, 73.0
1750071923.8298228, 359.94, 0.0, 1.69, 71.0
1750071923.8745048, 359.94, 0.12, 1.75, 73.0
1750071923.9202266, 359.94, 0.25, 1.81, 73.0
1750071923.9652038, 359.94, 0.25, 1.81, 70.0
1750071924.0102088, 359.94, 0.25, 1.81, 72.0
1750071924.0589619, 359.94, 0.25, 1.81, 69.0
1750071924.107739, 359.94, 0.25, 1.81, 69.0
1750071924.1535356, 359.94, 0.25, 1.81, 71.0
1750071924.2019367, 359.94, 0.25, 1.81, 71.0
1750071924.250982, 359.94, 0.25, 1.81, 72.0
1750071924.300108, 359.94, 0.25, 1.81, 71.0
1750071924.3498182, 359.94, 0.25, 1.81, 70.0
1750071924.39891, 359.94, 0.25, 1.81, 70.0
1750071924.4437027, 359.94, 0.25, 1.81, 71.0
1750071924.4931366, 359.94, 0.25, 1.81, 71.0
1750071924.5417607, 359.94, 0.25, 1.81, 72.0
1750071924.591375, 359.94, 0.25, 1.81, 71.0
1750071924.6410797, 359.94, 0.25, 1.81, 68.0
1750071924.6895618, 359.94, 0.25, 1.81, 69.0
1750071924.7344842, 359.94, 0.25, 1.81, 68.0
1750071924.7835138, 359.94, 0.25, 1.81, 73.0
1750071924.8331206, 359.94, 0.25, 1.81, 71.0
1750071924.8822708, 359.94, 0.25, 1.81, 71.0
1750071924.9318442, 359.94, 0.25, 1.81, 69.0
1750071924.9800596, 359.94, 0.25, 1.81, 71.0
1750071925.0296333, 359.94, 0.25, 1.81, 68.0
1750071925.0749576, 359.94, 0.25, 1.81, 73.0
1750071925.1236126, 359.94, 0.25, 1.81, 71.0
1750071925.168825, 359.94, 0.25, 1.81, 68.0
1750071925.2143853, 359.94, 0.25, 1.81, 71.0
1750071925.2632864, 359.94, 0.25, 1.81, 68.0
1750071925.3124082, 359.94, 0.25, 1.81, 71.0
1750071925.3616471, 359.94, 0.25, 1.81, 68.0
1750071925.4106405, 359.94, 0.25, 1.81, 69.0
1750071925.4554083, 359.94, 0.25, 1.81, 71.0
1750071925.504432, 359.94, 0.25, 1.81, 70.0
1750071925.5541763, 359.94, 0.25, 1.81, 69.0
1750071925.602843, 359.94, 0.25, 1.81, 70.0
1750071925.652483, 359.94, 0.25, 1.81, 73.0
1750071925.7013543, 359.94, 0.25, 1.81, 70.0
1750071925.7460725, 359.94, 0.25, 1.81, 71.0
