Total recording time: 3546 ms
Valve inflation times (ms): [200, 1000, 1000]
time, x, y, z, h
1750073388.494811, 360.0, 0.25, 1.88, 55.0
1750073388.5440257, 360.0, 0.25, 1.88, 52.0
1750073388.5925527, 360.0, 0.25, 1.88, 54.0
1750073388.6376128, 360.0, 0.25, 1.88, 53.0
1750073388.6873007, 360.0, 0.25, 1.88, 53.0
1750073388.7363553, 360.0, 0.25, 1.88, 55.0
1750073388.7849238, 360.0, 0.25, 1.88, 52.0
1750073388.8346722, 360.0, 0.25, 1.88, 53.0
1750073388.8833294, 360.0, 0.25, 1.88, 54.0
1750073388.9286156, 360.0, 0.25, 1.88, 55.0
1750073388.9772375, 360.0, 0.25, 1.88, 54.0
1750073388.9772375, -1, -1, -1, -1
1750073389.0596807, 360.0, 0.25, 1.88, 53.0
1750073389.1043162, 0.0, 0.19, 1.81, 56.0
1750073389.1540127, 0.0, 0.19, 2.0, 57.0
1750073389.1985507, 0.0, 0.19, 2.13, 55.0
1750073389.2474706, 0.0, 0.19, 2.25, 55.0
1750073389.2932012, 0.0, 0.19, 2.5, 57.0
1750073389.3384912, 359.94, 0.19, 3.0, 61.0
1750073389.383462, 359.94, 0.19, 3.38, 60.0
1750073389.428622, 359.94, 0.19, 3.88, 58.0
1750073389.4731152, 359.94, 0.25, 4.31, 63.0
1750073389.518197, 359.94, 0.19, 4.81, 62.0
1750073389.5677683, 359.94, 0.19, 5.19, 64.0
1750073389.6165595, 359.94, 0.19, 5.69, 67.0
1750073389.6661472, 359.94, 0.19, 6.19, 67.0
1750073389.7152305, 359.94, 0.19, 6.69, 69.0
1750073389.7604327, 359.94, 0.19, 7.13, 70.0
1750073389.8096905, 359.94, 0.19, 7.5, 69.0
1750073389.8583257, 359.94, 0.19, 7.88, 73.0
1750073389.9073727, 359.94, 0.19, 8.25, 71.0
1750073389.956938, 359.94, 0.19, 8.63, 71.0
1750073390.0011303, 359.94, 0.19, 8.94, 73.0
1750073390.0513108, 359.94, 0.25, 9.19, 71.0
1750073390.0999923, 359.88, 0.37, 9.44, 73.0
1750073390.1486533, 359.94, 0.5, 9.5, 75.0
1750073390.198355, 359.94, 0.56, 9.5, 73.0
1750073390.247581, 359.88, 0.5, 9.5, 72.0
1750073390.2962646, 359.88, 0.56, 9.5, 75.0
1750073390.3418646, 359.88, 0.56, 9.5, 74.0
1750073390.3905063, 359.88, 0.56, 9.5, 75.0
1750073390.4399648, 359.88, 0.56, 9.5, 73.0
1750073390.4886067, 359.88, 0.56, 9.5, 75.0
1750073390.538664, 359.88, 0.56, 9.5, 75.0
1750073390.5872376, 359.88, 0.56, 9.5, 74.0
1750073390.6320717, 359.88, 0.56, 9.5, 76.0
1750073390.6777065, 359.88, 0.56, 9.5, 75.0
1750073390.7230213, 359.88, 0.56, 9.5, 75.0
1750073390.7716691, 359.88, 0.56, 9.5, 72.0
1750073390.821017, 359.88, 0.56, 9.5, 74.0
1750073390.8696604, 359.88, 0.56, 9.5, 75.0
1750073390.9196658, 359.88, 0.56, 9.5, 75.0
1750073390.9684672, 359.88, 0.56, 9.5, 74.0
1750073391.0174353, 359.88, 0.56, 9.5, 74.0
1750073391.0660994, 359.88, 0.56, 9.5, 74.0
1750073391.1153834, 359.88, 0.56, 9.5, 75.0
1750073391.164994, 359.88, 0.56, 9.5, 74.0
1750073391.2134902, 359.88, 0.56, 9.5, 73.0
1750073391.2626848, 359.88, 0.56, 9.5, 76.0
1750073391.312305, 359.88, 0.56, 9.5, 73.0
1750073391.3617783, 359.88, 0.56, 9.5, 70.0
1750073391.4110591, 359.88, 0.56, 9.5, 73.0
1750073391.4595675, 359.88, 0.56, 9.5, 75.0
1750073391.5090508, 359.88, 0.56, 9.5, 75.0
1750073391.5581086, 359.88, 0.56, 9.5, 75.0
1750073391.607, 359.88, 0.56, 9.5, 76.0
1750073391.652542, 359.88, 0.56, 9.5, 73.0
1750073391.701074, 359.88, 0.56, 9.5, 75.0
1750073391.750349, 359.88, 0.56, 9.5, 73.0
1750073391.7993665, 359.88, 0.56, 9.5, 74.0
1750073391.845194, 359.88, 0.56, 9.5, 75.0
1750073391.8937144, 359.88, 0.56, 9.5, 76.0
1750073391.9425504, 359.88, 0.56, 9.5, 79.0
1750073391.992242, 359.88, 0.56, 9.5, 76.0
