Total recording time: 19790 ms
time, x, y, z, h
1750070582.8496482, 0.0, -0.25, 0.31, 51.0
1750070582.8983564, 0.0, -0.25, 0.31, 49.0
1750070582.9478567, 0.0, -0.25, 0.31, 49.0
1750070582.996521, 0.0, -0.25, 0.31, 48.0
1750070583.042291, 0.0, -0.25, 0.31, 52.0
1750070583.0906713, 0.0, -0.25, 0.31, 50.0
1750070583.1403756, 0.0, -0.25, 0.31, 49.0
1750070583.1855805, 0.0, -0.25, 0.31, 50.0
1750070583.2305984, 0.0, -0.25, 0.31, 52.0
1750070583.2790515, 0.0, -0.25, 0.31, 49.0
1750070583.3287802, 0.0, -0.25, 0.31, 52.0
1750070583.3287802, -1, -1, -1, -1
1750070602.591057, 359.63, -8.25, -3.56, 72.0
